DATE,PRICE
2023-01-02,100.49794982282872
2023-01-03,100.35909305160806
2023-01-04,101.01121698049857
2023-01-05,102.56142305850935
2023-01-06,102.32155296680716
2023-01-09,102.08226064158869
2023-01-10,103.70715327095259
2023-01-11,104.50609975697094
2023-01-12,104.01662027630101
2023-01-13,104.582506645101
2023-01-16,104.09897405884404
2023-01-17,103.61528138812342
2023-01-18,103.86629483311165
2023-01-19,101.89793172964012
2023-01-20,100.15534840581333
2023-01-23,99.59376770060679
2023-01-24,98.59014212304814
2023-01-25,98.90044632084593
2023-01-26,98.00647135382165
2023-01-27,96.63205067351987
2023-01-30,98.05876691951654
2023-01-31,97.83762320225463
2023-02-01,97.90371350499845
2023-02-02,96.51872187247585
2023-02-03,95.99471821145403
2023-02-06,96.10125711581111
2023-02-07,95.00147914687584
2023-02-08,95.35906913005789
2023-02-09,94.78802234726233
2023-02-10,94.51193447181934
2023-02-13,93.94495739266412
2023-02-14,95.70129526009636
2023-02-15,95.68837911287831
2023-02-16,94.68160642768173
2023-02-17,95.46361694882553
2023-02-20,94.30524081159773
2023-02-21,94.50241596971682
2023-02-22,92.66850831715797
2023-02-23,91.44583577506123
2023-02-24,91.62603449003181
2023-02-27,92.30516662898289
2023-02-28,92.46348402063663
2023-03-01,92.35661339846109
2023-03-02,92.07894247089776
2023-03-03,90.72754999352858
2023-03-06,90.0767979898164
2023-03-07,89.66282353007135
2023-03-08,90.61569681020451
2023-03-09,90.92760449669267
2023-03-10,89.33856319529038
2023-03-13,89.62856482766982
2023-03-14,89.28408479779073
2023-03-15,88.68174217993197
2023-03-16,89.22584976143709
2023-03-17,90.1505263613142
2023-03-20,90.99400175382809
2023-03-21,90.2335594914571
2023-03-22,89.95497708594166
2023-03-23,90.25345913774781
2023-03-24,91.1382310180267
2023-03-27,90.70256472807598
2023-03-28,90.53432350039107
2023-03-29,89.53823083671651
2023-03-30,88.47354918011638
2023-03-31,89.19534804318594
2023-04-03,90.41329150650375
2023-04-04,90.34820822145389
2023-04-05,91.25944685595748
2023-04-06,91.59007136037842
2023-04-07,91.00110752043604
2023-04-10,91.33057650861063
2023-04-11,92.74613214866179
2023-04-12,92.71291083438109
2023-04-13,94.17494550148112
2023-04-14,91.73983804912585
2023-04-17,92.49695720411457
2023-04-18,92.57750814710116
2023-04-19,92.30110802713139
