DATE,LOG_RETURN
2023-01-13,0.023680633750522873
2023-01-20,-0.010190238520280559
2023-01-27,-0.04359531733968236
2023-02-03,-0.01106173450818293
2023-02-10,-0.021936338163003555
2023-02-17,-0.0005927139283867788
2023-02-24,-0.02325954949524256
2023-03-03,-0.009986842891299474
2023-03-10,-0.020450413070250306
2023-03-17,-0.008134513658302645
2023-03-24,0.012458594200760231
2023-03-31,-0.009167941163261695
2023-04-07,0.013660734505655192
2023-04-14,0.017643827959639147
2023-04-21,-0.00514662348042183
2023-04-28,-0.010545718802228876
2023-05-05,0.00022163768076399748
2023-05-12,0.006486921072808904
2023-05-19,-0.01713135459852566
2023-05-26,-0.02329667990430284
2023-06-02,0.012758003618984048
2023-06-09,-0.004117615750395487
2023-06-16,0.015178533408196415
2023-06-23,0.012742592147597875
2023-06-30,0.010058303497236132
2023-07-07,-0.0289584910861187
2023-07-14,-0.0005343743855972249
2023-07-21,-0.0034741584771653677
2023-07-28,-0.007925515189836752
2023-08-04,0.00042821345693688784
2023-08-11,0.008914461501031035
2023-08-18,0.0058737822167556075
2023-08-25,0.02860964742572847
2023-09-01,-0.012283345148369484
2023-09-08,0.023896602458634675
2023-09-15,0.020391269099519604
2023-09-22,-0.0008029150362798276
2023-09-29,-0.01753685361831092
2023-10-06,-0.007864292728233302
2023-10-13,0.006101013022601798
2023-10-20,0.00848847065365721
2023-10-27,0.05935359733803569
2023-11-03,0.005646730662612676
2023-11-10,0.00023437212656496342
2023-11-17,-0.011050248133054552
2023-11-24,-0.006651232791528905
2023-12-01,0.004181141988881976
2023-12-08,-0.005230240071102621
2023-12-15,-0.005792694158835765
2023-12-22,0.01890535966197948
2023-12-29,0.008646287780535111
