WEEK_STARTING,SENTIMENT
2023-01-02,-0.26648787303311494
2023-01-09,0.04580216609576797
2023-01-16,0.07280786513244268
2023-01-23,0.2224215765742205
2023-01-30,0.09650455672560974
2023-02-06,-0.2524668465564708
2023-02-13,0.14743744550863344
2023-02-20,0.23664223238917756
2023-02-27,-0.0328754772585207
2023-03-06,-0.089968828653581
2023-03-13,0.28048306830047537
2023-03-20,-0.09275499720307533
2023-03-27,-0.18823297183201965
2023-04-03,-0.08961489009324328
2023-04-10,0.02056453572147682
2023-04-17,-0.052700251893786375
2023-04-24,-0.11518598430175424
2023-05-01,-0.19523161813813067
2023-05-08,-0.18057261809424693
2023-05-15,-0.01294253700067784
2023-05-22,0.042679489695571816
2023-05-29,0.015293160836328094
2023-06-05,0.08367779293543473
2023-06-12,0.1377585749321804
2023-06-19,0.09060105723558153
2023-06-26,-0.26309126318763304
2023-07-03,0.07466674175840997
2023-07-10,-0.04327403015251053
2023-07-17,0.020590378315772397
2023-07-24,-0.11774593298262398
2023-07-31,-0.03833049508254433
2023-08-07,0.08829711491203102
2023-08-14,-0.3864242713152649
2023-08-21,0.3412110144840065
2023-08-28,0.03065384536353742
2023-09-04,0.037880354163796086
2023-09-11,0.05862898745265082
2023-09-18,0.20038505017597227
2023-09-25,-0.09846140890198368
2023-10-02,0.08042886311147347
2023-10-09,0.04802087236590578
2023-10-16,0.38704333208705854
2023-10-23,0.2974957809084723
2023-10-30,0.18822679753756869
2023-11-06,-0.056438361379353395
2023-11-13,-0.08940631381912993
2023-11-20,0.23771232402080317
2023-11-27,-0.21226373426875605
2023-12-04,-0.1017139380200347
2023-12-11,0.2812762729208448
2023-12-18,0.3039220213031063
2023-12-25,-0.0408899115179914
